"file_id"	"target_path"	"package_root"	"file_kind"	"selection"	"selected_source_path"	"selected_source_sha256"	"mirror_identity"	"composition_class"	"build_profile_state"	"divergence_or_exclusion_id"	"final_non_recovery_reason"	"evidence"
"MVDM-FILE-0001"	"bde/bde.def"	"bde"	"resource-or-other"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bde.def"	"cfb2deeb3c42a282c4cf19aa8cf13d3408b007ceb42dc21c1b098e0b7da16979"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0002"	"bde/bde.h"	"bde"	"declaration"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bde.h"	"e85678f92da6f86f65e30b38530ccda84a03d632ee39917d5b3eec81d1a8fc8e"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0003"	"bde/bdecmds.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdecmds.c"	"ddcc992c69fa9f390780a935c2b3721b1df59ef148b15554b338cfbd248b110e"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0004"	"bde/bdeheap.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeheap.c"	"d681e9c5c124705aa2eabf999b0038d5409f6f9bbea964d9ed100548c6ae6c7a"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0005"	"bde/bdemisc.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdemisc.c"	"0bf544626a6e6b2bcd80f52efb21942eaa58fcfd0e1b1a682652c975e290919b"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0006"	"bde/bdestack.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdestack.c"	"d832c428e64d72b312662a716a1a468986a6f142c1102bd2264849633526e86c"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0007"	"bde/bdesym.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdesym.c"	"c885aea477f81e03faf75c1f6fad6af2782660f005ddb597ba45059b3037c096"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0008"	"bde/bdeutil.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\bdeutil.c"	"0b9f7bdcb968ad38d95c2170afb0e84325c77e6d7a68161b6d63a89e4fcd225b"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0009"	"bde/data.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\data.c"	"5da2d4e3cd95333273f4c136686f91774685bb017aad14e59e1316c45a601f16"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0010"	"bde/disasm.c"	"bde"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\disasm.c"	"8a59c16e5edd056761b3fabcd2d67c07f2fb896b0128b8f82dab2ef3b9336417"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0011"	"bde/makefile"	"bde"	"resource-or-other"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\makefile"	"26957856e8a7f42a1740419cf3451497129f1d8284301d42f1a89ee13dd5a459"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0012"	"bde/precomp.h"	"bde"	"declaration"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\precomp.h"	"7d2fd3883fc253312963c68f750005343c2499fa2effdbbced6ea1807e5dbe5c"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0013"	"bde/sources"	"bde"	"resource-or-other"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\bde\sources"	"a3166c1925cdc05ebe956067f47aade02b0706be9ed84fd301f2d78bfa9b2e9c"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0014"	"dbg/dbg.c"	"dbg"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dbg\dbg.c"	"5a3a207eff1570908e270c737d12fb40fe66097895063136d17fe6b971494b90"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0015"	"dbg/makefile"	"dbg"	"resource-or-other"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dbg\makefile"	"0e91e3ac947853ae1230c8ae1d9c83bf0b3adfcfd282d84139265f44c9f803f4"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0016"	"dbg/sources"	"dbg"	"resource-or-other"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dbg\sources"	"1285f9984f0b95057f218277ee79587070a375b5058432e50889550d15e997a2"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0017"	"dirs"	"dirs"	"build-control"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dirs"	"f4ecc5063cbb7d6f1d4daeeb527ce651772e21edd2104ad1c03b4fb4aec95a91"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"source"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmd.c"	"9d0a773fcc8d7765b0fe3fe3750b5c9a29a596362f78a221161318fd83cc0262"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
"MVDM-FILE-0019"	"dos/command/cmd.h"	"dos"	"declaration"	"dual-identical"	"O:\repos.external\OpenNT\base\mvdm\dos\command\cmd.h"	"ea707e7955198462f93a0e795ae1751d83749578e93653e9b0baf4594d069711"	"byte-exact-verified"	"unreviewed"	"unreviewed"	""	""	"m0-t276-s1-file-identity-taxonomy-001.md"
